stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\agust\source\repos\GullinoAgus\TP2EDA\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.07688] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07696] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07704] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07712] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07718] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07724] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07732] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07739] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07744] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07750] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07756] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07763] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07771] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07779] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.07785] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07792] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.07799] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.07807] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.07814] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07821] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.07828] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.07835] Score is : 769
